	header	desc	author	date
34	Consumer Confidence Is Crumbling Despite Economic Expansion	Durable and non-defense capital goods orders are rising, and economists don't seem so worried. But consumer concerns can be confusing for investors.	Q.ai - Powering a Personal Wealth Movement	24 hours ago
35	Despite Slowdown In Housing Market, These 10 Cities Have Seen The Biggest Price Growth From 2021 To 2022	Find out which housing markets have witnessed the biggest rise in home prices from 2021 to 2022.	Andrew DePietro	Jun 29, 2022
36	Five Ways Asset Managers Can Drive Better Financial And Impact Performance By Investing With A Gender Lens	We want to provide some insights into our commitment to the 2X Challenge and our work with our portfolio companies to achieve this goal in the hopes that we can catalyze others to take similar actions in whatever field you are working in.	Rob Kaplan	Jun 29, 2022
37	Icon: NBA Pro Turns Injury Into Wins Across Crypto, Hollywood, & Mindfulness	After a career altering injury in 2018, Jarnell Stokes had to pivot – embracing his Memphis roots and building or investing in world changing companies.	Brendan Doherty	Jun 29, 2022
38	Should You Buy, Sell, Or Hold Pfizer Stock At $52?	This marks a significant outperformance compared to some of its peers and the broader markets, with Johnson & Johnson stock rising 16%, Merck stock up 21%, and the S&P 500 index rising just 3% over the same period.	Trefis Team	Jun 29, 2022
39	Dividend Cuts Are Coming: Here’s How To Avoid Them	Most investors ignore the “magnetic” connection between dividends and share prices...	Brett Owens	Jun 29, 2022
40	U.S. Economy Shrank Worse-Than-Expected 1.6% Last Quarter As Recession Fears Grow	The government blamed the unexpected decline on the omicron variant of Covid-19 and decreased government assistance.	Jonathan Ponciano	Jun 29, 2022
41	Biden Could Cancel Student Loans If These 5 Things Are True	If these 5 things are true, President Biden could cancel your student loans.	Zack Friedman	Jun 29, 2022
42	10 Cities Where Housing Inventory Increased The Most Amid Slowing Housing Market	Find out which housing markets have seen their available inventory build up the most from 2021 to 2022.	Andrew DePietro	Jun 29, 2022
43	Etsy Stock Is Up 12% In One Week, What To Expect?	Etsy stock (NASDAQ: ETSY) has gained 12% in the last week, outperforming the S&P 500 (up 6.2%).	Trefis Team	Jun 29, 2022
44	The SEC’s Chair Makes Game-Changing Crypto Statement As Price Of Bitcoin, Ethereum, BNB, XRP, Terra’s Luna, Solana, Cardano, Dogecoin Turn Mixed	The Securities and Exchange Commission (SEC) Chair Gary Gensler made what many consider a game-changing statement that can define the future of bitcoin and altcoins. Meanwhile, the price of bitcoin, ethereum, BNB, XRP, Terra's luna, solana, cardano, dogecoin turn mixed.	Dan Runkevicius	Jun 29, 2022
45	What’s Happening With Netflix Stock?	Netflix stock has declined by about 68% year-to-date and currently trades at just about $190 per share.	Trefis Team	Jun 29, 2022
46	With Iron Ore Prices Volatile, Is Rio Tinto Stock Worth A Look?	The shares of diversified mining giant Rio Tinto (NYSE: RIO) have declined almost 6% year-to-date although it has been a bit volatile, tracking price movements of iron ore, which is its single largest product, accounting for two-thirds of Rio Tinto revenue in 2021.	Trefis Team	Jun 29, 2022
47	Mukesh Ambani Flags Off Succession, Anointing Son Akash Ambani Chairman Of Reliance Jio Infocomm	Asian tycoons tend to be laggards when it comes to passing on the baton, but Indian billionaire Mukesh Ambani has commenced the handover at age 65. This week, Ambani stepped down from his position as chairman and director of Reliance Jio Infocomm, the telecom unit of Reliance Industries.	Gloria Haraito	Jun 29, 2022
48	Will Freeport Stock Fall Further?	The stock price of Freeport-McMoRan (NYSE: FCX) one of the largest producers of copper, has declined by about 11% over the last week (five trading days) and remains down by 17% over the last month.	Trefis Team	Jun 29, 2022
49	What To Expect From Walgreens Stock As It Reports Its Q3 Results?	The company should also see continued benefits from its international pharmaceuticals business and the expansion of its healthcare platform - Walgreens Health - a trend seen over the recent quarters.	Trefis Team	Jun 29, 2022
50	Soaring Demand For Specialty Chemicals Produces India’s Newest Billionaire	Ashwin Desai’s listing of his Surat, India-based specialty chemicals maker Aether Industries this month has made him India’s newest billionaire in a city better known for its diamond industry.	Anu Raghunathan	Jun 29, 2022
51	Comfort’s Back In China IPOs: De Rucci Healthy Sleep Mints Two Billionaires	Listing gained amid market post-lockdown rebound	Russell Flannery	Jun 29, 2022
52	ExxonMobil Is Holding Gains As Crude Oil Rallies. Here’s How To Trade The Stock.	ExxonMobil broke out above its 50-day simple moving average as 2022 began. Here's how to trade the stock now.	Richard Henry Suttmeier	Jun 28, 2022
53	Dow Plunges Nearly 500 Points, Recession Fears Resume As Consumer Confidence Hits New Low	Despite a strong rally last week, stocks are tanking again as recession fears linger.	Sergei Klebnikov	Jun 28, 2022
54	Buy Now, Pay Later: The Potential Of Cross-Border Payments For An Industry In Flux	Recent launches from companies including Apple, NatWest, Santander and Zopa, as well as new offerings from those already in the space, including PayPal﻿, show that there are still major opportunities in BNPL. However, one area that remains significantly under-explored is cross-border BNPL.	Daniel Webber	Jun 28, 2022
55	It’s Easy To Blame Private Equity For Housing Shortage, But Crisis Has Deeper Roots	Corporate investors have purchased hundreds of thousands of single-family homes. Experts say that’s a symptom–not a cause–of a housing shortage that’s been more than a decade in the making.	David Westenhaver	Jun 28, 2022
56	Red Flags Of Financial Fraud In Divorce – And What To Do About Them	It is not uncommon for one spouse to be accused of financial fraud in divorce. Arm yourself with the knowledge of the potential red flags and warning signs so you can ensure your settlement is as equitable as possible.	Heather L. Locus	Jun 28, 2022
57	3 Charts Showing Optimism For The Global Shipping Industry	We remain bullish on the global shipping industry for a number of reasons. Hereare three charts showing how carriers look to be in positive territory heading into year-end.	Frank Holmes	Jun 28, 2022
58	Perpetual Traveling On Tourist Visas	Some retirees have a hard time landing on just one retire-overseas locale or want to see as much of the world as possible, traveling without limitation. If this is you, then becoming a perpetual traveler (PT) is the perfect alternative. Here’s how…	Kathleen Peddicord	Jun 28, 2022
59	Thinking About Medicare Advantage To Escape Part B? Think Again	Learn about IRMAA and Medicare Part B.	Diane Omdahl	Jun 28, 2022
60	What To Expect From Bed Bath & Beyond’s Stock Post Q1 Results?	Bed Bath & Beyond (NASDAQ: BBBY), the home goods retailer, is scheduled to report its fiscal first-quarter results on Wednesday, July 29th.	Trefis Team	Jun 28, 2022
61	China Tourism, Airline Stocks Climb On Shorter Quarantines For Int’l Arrivals; Trip.com Soars 14%	World's No. 2 economy has been hurt by Covid restrictions	Russell Flannery	Jun 28, 2022
62	Stocks Are In A Bear Market, Is A Housing Crash To Follow?	As homebuyers are continually priced out of the market, many investors and homeowners worry a housing crash could be around the corner.	Q.ai - Powering a Personal Wealth Movement	Jun 28, 2022
63	The Advance Child Tax Credit: 2022 And Beyond	Elaine Maag of the Urban-Brookings Tax Policy Center looks at lessons learned from the 2021 advance child tax credit and its potential political future.	Tax Notes Staff	Jun 28, 2022
64	Teladoc Health And 2 Other Stocks With “Triple Top Breakouts”	It’s a point and figure price chart pattern that indicates a possible trend reversal from down to up.	John Navin	Jun 28, 2022
65	Zendesk’s $10.2 Billion Buyout Is The Latest Sign Of Slumping Tech Valuations	Zendesk is pursuing a buyout after all, a startup serving travel nurses raises $105 million and more from the week in deals.	Kevin Dowd	Jun 28, 2022
66	Microsoft And Cisco Face Shareholder Pressure Over Public Disclosures	Nana Ama Sarfo reports on two tax transparency shareholder proposals filed at Microsoft and Cisco.	Nana Ama Sarfo	Jun 28, 2022
67	Biden Has Canceled $400 Billion Of Student Loans, But Lawmaker Says No More Student Loan Forgiveness	Did you already get wide-scale student loan cancellation?	Zack Friedman	Jun 28, 2022
68	A Rallying Cry For These Unprecedented Times	The Supreme Court of the United States has reversed 50 years of reproductive freedom for women by handing down its recent decision on abortion. As business leaders, we have a responsibility to our employees, our customers, and our communities to stand up and make ourselves heard.	Peter Krull	Jun 28, 2022
69	Home Prices Finally Cooling Off? Market Slows In April, But Demand Remains High Despite Rising Mortgage Rates	Home prices are up significantly from last year but could cool by later in 2022 thanks to higher mortgage rates, experts predict.	Sergei Klebnikov	Jun 28, 2022
70	How To Remain A Confident Investor When Markets Are In Turmoil	The stock market is down, crypto is down, and investors are faltering with confidence. Here's what you should know.	Robert Farrington	Jun 28, 2022
71	If You Went To These Schools, You May Qualify For Student Loan Forgiveness: Here’s What To Do	Hundreds of thousands of borrowers may qualify for federal student loan cancellation under a program designed to address school misconduct. Here's what you need to know.	Adam S. Minsky	Jun 28, 2022
72	What If You Don’t Like Your 401(k) And HSA Investment Options?	Here are a few ways to work around your employee benefit to help you make the most of what you must work with:	Cyrus Purnell	Jun 28, 2022
73	Retirement Moves For The LGBTQ Community	Although the obstacles this community has faced have been lessening in recent years, one thing seems clear: some states are more welcoming to LGBTQ elders than others.	Sara Zeff Geber, PhD	Jun 28, 2022
74	Will A Cash Balance Plan 401(k) Combo Secure Your Retirement?	Combining a Cash Balance Pension Plan with a Profit-Sharing 401(k) can provide the largest tax savings for high-income business owners.	David Rae	Jun 28, 2022
75	What’s Behind Ambarella Stock’s 2x Outperformance Of The S&P Since 2018?	This has enabled the stock to strongly outperform the S&P, which has risen around 55% in comparison over this period.	Trefis Team	Jun 28, 2022
76	Cathie Wood Claims Economy Already In A Recession—Warns Inflation And Inventories Pose ‘Big Problem’	“We were wrong on one thing—and that was inflation being as sustained as it has been,” Wood said Tuesday, while defying economists projecting that the U.S. will avoid a recession this year.	Jonathan Ponciano	Jun 28, 2022
77	Trip.com Financial Results Beat & Benefits From China Covid Easing	Asian equities were largely higher as China, the Philippines, and Malaysia outperformed.	Brendan Ahern	Jun 28, 2022
78	Cash Burn: Stocks That Could Go To $0 As Fed Raises Rates: Peloton	As the Fed raises interest rates and ends quantitative easing, access to cheap capital is drying up quickly.	David Trainer	Jun 28, 2022
79	Big Upside In Pacer U.S. Small Cap Cash Cows 100 ETF	After rigorous analysis of ~1,000 ETFs, I identified another ETF with quality holdings at cheap valuations.	David Trainer	Jun 28, 2022
80	What’s The Outlook Like For Apple Suppliers?	While surging inflation has prompted the Federal Reserve to hike interest rates at a more aggressive pace, leading to a sell off in growth sectors such as technology, Apple suppliers have also been impacted to an extent by the semiconductor shortage, and Covid-19-related disruptions in China and ...	Trefis Team	Jun 28, 2022
81	This 3-Fund Portfolio Pays $5,000 Every Month	Thanks to the selloff, it’s possible to buy closed-end funds (CEFs) at such high yields that we can do what seemed unthinkable just a few months ago...	Michael Foster	Jun 28, 2022
82	How To Continue To Mess Up A Golden Opportunity Worth Billions For Argentina In A World Of High Energy Prices	Productive Development Minister Matías Kulfas’ “resignation” a few weeks ago reads as a cautionary tale as to how not to conduct a coalition government, proving once again that the Argentine political system suffers from systemic failures that are self-inflicted and cause very real damage.	Agustino Fontevecchia	Jun 28, 2022
83	Arresting Payment Fraud: Why The Industry Must Collaborate To Outsmart A Global Enemy	The growth in new payment types and channels offers criminals a bigger attack surface than ever. While technology has become a vector for novel criminal activity, it also has the potential to stop crime in its tracks. However, a new approach is needed.	Bob Legters	Jun 28, 2022
84	How Apple Will Boost The Apple Card With Buy Now Pay Later	Apple Pay Later doesn’t cannibalize the Apple Card and “sideline” Goldman Sachs—it’s a stepping stone to a credit card relationship that benefits both Apple and Goldman Sachs.	Ron Shevlin	Jun 28, 2022
85	What’s Happening With Verizon Stock?	While the markets have been favoring stocks such as wireless carriers with consistent cash flows amid increasing economic uncertainty and rising interest rates, Verizon has been weighed down primarily by mounting competition in the 5G market.	Trefis Team	Jun 28, 2022
86	Stagflation: Causes And When It Will Come	The Federal Reserve affects employment before it affects inflation. In between, employment is slowing but inflation is not yet coming down.	Bill Conerly	Jun 28, 2022
87	How Will U.S. Steel Stock Fare In An Uncertain Economy?	China - the world’s largest steel consumer - has been enforcing a zero-Covid policy, which has resulted in stringent lockdowns in several provinces, hurting the demand from the industrial and construction sector, and resulting in higher inventory levels.	Trefis Team	Jun 28, 2022
88	Morgan Stanley Investment Head Sees Hidden Inflation Threat In Dollars And Commodities	As investors wonder when inflation will abate, Morgan Stanley CIO Lisa Shalett sees an economic canary in the coal mine.	Jason Bisnoff	Jun 28, 2022
89	Indonesia’s Sinar Mas Land To Fund Tech Startups With Living Lab Ventures	Sinar Mas Land, a Singapore-listed property developer controlled by the Widjaja family, has established an investment unit called Living Lab Ventures that aims to fund startups in Indonesia.	Gloria Haraito	Jun 28, 2022
90	Optimistic Financial Advisors Expect 4.4% Return In 2022 According To Survey	If you believe your friendly neighborhood stock broker, a head stock rally will send returns firmly into the green in the next six months.	Jason Bisnoff	Jun 28, 2022
91	The Peloton Sell Off Continues. Is The Stock Finally A Buy?	There are also renewed concerns about the U.S. economy and consumer spending, as surging inflation and rising interest rates put pressure on household budgets.	Trefis Team	Jun 28, 2022
92	Hong Kong SaaS Startup Raises $8 Million In Funding Led By Tiger Global	Other investors in the round included existing investor Alibaba Entrepreneurs Fund and Hong Kong-based Transcend Capital.	Jayde Cheung	Jun 28, 2022
93	Up Around 20% In A Month, Will FedEx Stock Continue To See Higher Levels?	FedEx reported its Q4 results last week with revenue of $24.4 billion, reflecting 8% y-o-y growth and earnings of $6.87 on a per share and adjusted basis, compared to $5.01 in the prior-year quarter.	Trefis Team	Jun 28, 2022
94	China’s 5.5% GDP Obsession Has $8 Trillion Dark Side	Getting close to this year’s gross domestic product target might help Xi Jinping’s political goal in the short run. But it could exacerbate the country’s debt troubles in dangerous ways.	William Pesek	Jun 28, 2022
95	De-Centralized Autonomous Organization (DAO) For Cryptocurrency Alleged To Be A General Partnership In Sarcuni	A complaint has been filed in the U.S. District Court alleging both cryptocurrency losses for hacking and that the persons involved with the bZx protocol are in a general partnership and thus are generally liable for the hacking losses.	Jay Adkisson	Jun 27, 2022
96	What Should You Do About Bond Price Declines?	Bond prices are declining. What does that mean for you and what can you do about it?	Rick Miller	Jun 27, 2022
97	Why Won’t Congress Do What Mark Cuban Is Doing For Affordable Drug Prices?	He’s a billionaire. The U.S. may have much larger resources but hasn’t been willing.	Erik Sherman	Jun 27, 2022
98	Robinhood Shares Jump 14%, Trading Halted After Report That Crypto Exchange FTX Could Buy The Company	The news comes just over a month after FTX’s billionaire founder, Bankman-Fried, disclosed a sizable stake in Robinhood.	Sergei Klebnikov	Jun 27, 2022
99	Crypto Funds Post Record $423 Million Outflows As Bitcoin Plunge Rattles Market	“Highly polarized sentiment” has investors shunning bitcoin funds in favor of other cryptocurrencies—and flocking to the first U.S. fund designed to short bitcoin.	Jonathan Ponciano	Jun 27, 2022
100	Colombia Elects Its First Leftist President, Which Is Bad News For Oil And Gas	Although voters in several Latin American countries managed to flip their countries back toward neoliberalism and free-market capitalism following the pink tide, it appears a new wave of populism has caused political appetites to shift yet again.	Frank Holmes	Jun 27, 2022
101	Tesla Factories Actually Burn Through Skepticism	Negative Tesla stories in the press drive clicks, likes and shares, the currency of the advertising-centric media ecosystem. These negative stories, meaningful or not, impact investor sentiment and ultimately drive Tesla shares lower and this presents an opportunity. Let me explain	Jon Markman	Jun 27, 2022
102	Tax Information Reporting On Digital Assets Steps Into The Spotlight	Marie Sapirie examines a court case on the digital asset reporting requirements in section 6050I, arguing that they pose procedural obstacles and privacy concerns for taxpayers that the government should take into account in legislation more than it has thus far.	Marie Sapirie	Jun 27, 2022
103	Gimmicky Giveaways Will Only Make Inflation Worse	Democrats must eschew new spending plans unless the benefits are carefully targeted and the costs are concurrently offset.	Ben Ritz	Jun 27, 2022
104	Unemployment Will Rise And ‘Extreme’ Price Pressures Continue As Fed Hikes Risk Recession, S&P Warns	"“It'’s hard to see the economy walking out of 2023 unscathed,"" the ratings agency said Monday as it warned of the impact of rising interest rates."	Jonathan Ponciano	Jun 27, 2022
105	Pending Home Sales See Surprise Rebound In May, But Experts Warn Housing Market Is ‘Undergoing A Transition’	Sales were still down “sizably” from a year ago as buyers have struggled with higher mortgage rates.	Sergei Klebnikov	Jun 27, 2022
106	The Revolution Is Alive And Well: How Fintech Has Impacted Banking	Just as it wasn’t over when the Germans bombed Pearl Harbor (according to Blutarski in the movie Animal House, at least), the fintech revolution isn’t over just because the valuation of two companies (Klarna and Robinhood) has declined.	Ron Shevlin	Jun 27, 2022
107	Dutch Treat For JD, Hong Kong Internet Gains	Asian investors did not forget about Fed Chair Powell’s less aggressive comments on interest rate hikes on Friday as equities had a strong start to the week, except for Indonesia.	Brendan Ahern	Jun 27, 2022
108	Vietnamese Fintech Startup Raises $25 Million Series B Round From Openspace, Vietnam Investments Group	Finhay was founded in 2017 by Huy Nghiem, a Vietnamese-Australian who quit his finance job in Australia.	Ralph Jennings	Jun 27, 2022
109	A Potential Solution To The Northern Ireland Protocol: Turn A Blind Eye	Much of the UK press is now sounding the alarm that the British government’s thoughts of pulling out of the Northern Ireland protocol will unleash economic hell on the UK.	Simon Constable	Jun 27, 2022
110	Cash Burn: Stocks That Could Go To $0 As Fed Raises Rates: Freshpet	Time is running out for cash-burning companies kept afloat with easy/cheap access to capital. These “zombie” companies are at risk of going bankrupt if they cannot raise more debt or equity, which is not as easy as it used to be.	David Trainer	Jun 27, 2022
111	Look Beyond Legacy Fund Ratings And Avoid DF Dent Mid Cap Growth Fund	My deep dive into this fund’s holdings reveal a portfolio that is inferior to its benchmark and the S&P 500, which makes future underperformance likely.	David Trainer	Jun 27, 2022
112	Boris Government Chips Away At Free Trade	It looks like Britain is about to resort to protectionism.	Simon Constable	Jun 27, 2022
113	Starbucks Stock Down 35% In 2022, Is There An Upside?	SBUX stock has declined from around $114 to $75 in the last six months, largely underperforming the broader indices, with the S&P falling about 20% over the same period.	Trefis Team	Jun 27, 2022
114	Markets Look To String Together Two Positive Weeks	Markets closed strong last Friday with the S&P 500 notching a 3.1% gain, marking the best day in the index since May of 2020.	JJ Kinahan	Jun 27, 2022
115	International Business Law As A Model Of Neutrality Avoiding Bias Pitfalls In Gun Regulations	After 19 children and two adults in Texas are gunned down by an 18-year-old who legally purchased an AR-style gun, why do reasonable measures for background checks fail to make their way through our legislative process?	Robert Ginsburg	Jun 27, 2022
116	Key Indicator Shows China’s Economy Set For Further Slump	Just when you thought China might be back on track, a key economic indicators suggests the opposite is coming down the pike.	Simon Constable	Jun 27, 2022
117	How To Get $8.1 Billion Of Student Loan Forgiveness	Here's how to qualify for student loan forgiveness.	Zack Friedman	Jun 27, 2022
118	In A Sour Market, These 5 Stocks Have Been Sweet	Here are five stocks that are bucking the market downtrend.	John Dorfman	Jun 27, 2022
119	Where Is Charles Schwab Stock Headed?	At its current price of $62 per share, it is trading 32% below its fair value of $92 – Trefis’ estimate for Charles Schwab’s valuation.	Trefis Team	Jun 27, 2022
120	PepsiCo A Top 25 Dividend Giant With 2.77% Yield	PepsiCo has been named as a Top 25 ''Dividend Giant'' by ETF Channel, with a whopping $32.68B worth of stock held by ETFs, and above-average ''DividendRank'' statistics including a strong 2.77% yield	Dividend Channel	Jun 27, 2022
121	Forbes Midas List VC Hints Funding Winter Could End By 2025	It may take two or three years for venture capital firms to clean out their bad investments. The sooner the stock market recovers, the faster that will happen.	Peter Cohan	Jun 27, 2022
122	Asia’s Richest Man, Gautam Adani, Raises $775 Million To Build India’s Largest Copper Refinery	Adani Enterprises is pushing ahead with plans to build India’s largest copper refinery as the world’s second most populous nation seeks to reduce its reliance on metal imports.	Jonathan Burgos	Jun 27, 2022
123	What’s Driving Textron Stock?	After over a 24% fall year-to-date, at the current levels, we believe Textron stock (NYSE: TXT) can see much higher prices.	Trefis Team	Jun 27, 2022
124	With Copper Prices Falling, What’s Next For Freeport Stock?	The sell-off comes as multiple macroeconomic factors appear to cloud the outlook for copper, which is Freeport’s primary product.	Trefis Team	Jun 27, 2022
125	Is Roe Vs Wade Just The Latest Blow To Democracy?	Democracy in in a crisis, notably in the USA, with Roe v Wade the latest episode. Righting this will take great time and a focus on human development	Mike O'Sullivan	Jun 27, 2022
126	Philippine Fintech Startup Raises $5.1 Million In Funding Led By Openspace Ventures	The round included existing investors 1982 Ventures, East Ventures and Saison Capital. Kumu cofounders Rexy Josh Dorado and Roland Ros, among others, joined the round as angel investors.	Jayde Cheung	Jun 27, 2022
127	How Can We Improve Social Security And Economic Security In The United States? NASI Offers Food For Thought	The National Academy of Social Insurance has offered a laundry list of ideas for benefit enhancement, and a reminder that all is not as simple as it might seem.	Elizabeth Bauer	Jun 26, 2022
128	China Billionaire Trio’s Xinyi Solar, Xinyi Glass Warn Of Profit Drop; Stocks Slide	Lower prices, rising costs hurt earnings	Russell Flannery	Jun 26, 2022
